TimeStamp,ECR,FCR,ECU,FCU
311824.1807,-12169.6,-1882.6,-3544.28,-6523.9
311824.1817,-12256.58,-1972.77,-3621.82,-6606.82
311824.1827,-12387.71,-2106.0,-3742.17,-6723.83
311824.1837,-12531.85,-2255.01,-3871.78,-6854.11
311824.1847,-12664.27,-2400.35,-3988.74,-6974.98
311824.1857,-12779.09,-2524.66,-4092.26,-7079.46
311824.1867,-12871.36,-2627.71,-4178.62,-7164.05
311824.1877,-12930.06,-2697.9,-4232.22,-7222.56
311824.1887,-12942.74,-2716.21,-4248.67,-7239.91
311824.1897,-12934.11,-2710.2,-4242.13,-7233.57
311824.1907,-12893.73,-2670.91,-4205.51,-7197.0
311824.1917,-12798.69,-2569.72,-4119.25,-7108.83
311824.1927,-12679.72,-2437.88,-4008.44,-6995.58
311824.1937,-12557.6,-2298.02,-3897.14,-6876.76
311824.1947,-12435.25,-2163.55,-3782.89,-6757.83
311824.1957,-12325.0,-2044.68,-3677.94,-6653.88
311824.1967,-12225.72,-1937.77,-3586.67,-6563.86
311824.1977,-12158.68,-1860.67,-3526.59,-6498.67
311824.1987,-12136.41,-1835.39,-3506.37,-6479.31
311824.1997,-12135.65,-1837.11,-3502.56,-6482.32
311824.2007,-12167.03,-1872.92,-3533.17,-6517.41
311824.2017,-12249.61,-1967.0,-3613.66,-6604.48
311824.2027,-12369.44,-2097.7,-3727.48,-6716.68
311824.2037,-12509.25,-2248.86,-3860.62,-6848.91
311824.2047,-12651.49,-2401.21,-3988.31,-6976.22
311824.2057,-12769.65,-2530.43,-4092.07,-7085.85
311824.2067,-12863.49,-2636.43,-4172.9,-7171.3
311824.2077,-12928.82,-2710.3,-4234.51,-7232.43
311824.2087,-12952.81,-2732.71,-4258.68,-7248.97
311824.2097,-12934.78,-2717.11,-4245.62,-7231.62
311824.2107,-12892.1,-2673.34,-4208.37,-7194.71
311824.2117,-12808.42,-2580.6,-4132.94,-7115.84
311824.2127,-12692.5,-2448.23,-4028.89,-7004.5
311824.2137,-12557.08,-2299.02,-3906.63,-6874.56
311824.2147,-12427.33,-2150.54,-3784.18,-6749.01
311824.2157,-12310.89,-2023.41,-3672.6,-6637.29
311824.2167,-12211.18,-1914.12,-3567.46,-6541.4
311824.2177,-12142.99,-1835.68,-3500.7,-6475.69
311824.2187,-12134.65,-1824.19,-3496.27,-6469.97
311824.2197,-12148.43,-1843.79,-3514.48,-6492.09
311824.2207,-12184.81,-1885.94,-3557.68,-6536.2
311824.2217,-12267.78,-1978.16,-3636.84,-6618.93
311824.2227,-12384.89,-2104.14,-3739.41,-6730.27
311824.2237,-12518.12,-2249.29,-3860.86,-6858.21
311824.2247,-12655.31,-2397.97,-3984.88,-6982.66
311824.2257,-12767.03,-2522.18,-4085.88,-7083.32
311824.2267,-12854.43,-2625.66,-4166.75,-7165.48
311824.2277,-12925.01,-2704.95,-4232.22,-7229.9
311824.2287,-12951.04,-2735.66,-4255.39,-7245.59
311824.2297,-12940.55,-2725.55,-4245.57,-7232.95
311824.2307,-12902.45,-2684.36,-4207.95,-7195.04
