TimeStamp,ECR,FCR,ECU,FCU
312416.0827,-11180.12,-760.51,-2011.16,-4600.81
312416.0837,-11349.54,-921.44,-2166.46,-4750.82
312416.0847,-11527.68,-1078.65,-2317.86,-4898.21
312416.0857,-11675.12,-1212.17,-2452.8,-5018.57
312416.0867,-11782.46,-1306.49,-2550.22,-5111.41
312416.0877,-11823.23,-1343.58,-2580.02,-5147.51
312416.0887,-11830.86,-1348.45,-2581.69,-5155.9
312416.0897,-11784.89,-1296.9,-2543.55,-5115.8
312416.0907,-11635.59,-1153.28,-2415.32,-4982.38
312416.0917,-11508.08,-1032.26,-2304.32,-4869.27
312416.0927,-11393.55,-925.35,-2209.28,-4768.94
312416.0937,-11217.17,-782.06,-2049.78,-4627.42
312416.0947,-11046.94,-633.48,-1878.74,-4482.65
312416.0957,-10911.04,-502.49,-1739.55,-4355.72
312416.0967,-10805.42,-392.53,-1628.83,-4257.3
312416.0977,-10764.5,-351.52,-1587.72,-4222.25
312416.0987,-10767.89,-355.58,-1593.07,-4228.88
312416.0997,-10808.28,-401.21,-1630.97,-4272.75
312416.1007,-10900.93,-495.15,-1715.76,-4354.43
312416.1017,-11022.14,-612.64,-1836.68,-4459.72
312416.1027,-11171.06,-752.59,-1979.02,-4586.79
312416.1037,-11337.81,-908.42,-2128.79,-4731.04
312416.1047,-11495.59,-1064.44,-2281.14,-4874.42
312416.1057,-11635.4,-1203.3,-2419.52,-5002.74
312416.1067,-11742.93,-1307.3,-2536.96,-5107.36
312416.1077,-11803.44,-1356.46,-2598.0,-5164.72
312416.1087,-11812.93,-1354.27,-2609.92,-5167.53
312416.1097,-11785.94,-1319.5,-2566.29,-5131.25
312416.1107,-11689.14,-1220.27,-2455.33,-5038.6
312416.1117,-11558.44,-1082.33,-2345.18,-4912.66
312416.1127,-11410.19,-936.84,-2221.25,-4776.1
312416.1137,-11235.95,-777.39,-2065.85,-4625.37
312416.1147,-11076.17,-628.47,-1927.52,-4486.18
312416.1157,-10952.0,-506.93,-1820.9,-4376.13
312416.1167,-10842.66,-417.47,-1684.62,-4295.92
312416.1177,-10777.09,-375.56,-1562.4,-4257.92
312416.1187,-10751.11,-360.58,-1506.66,-4235.7
312416.1197,-10753.78,-363.16,-1522.59,-4226.88
312416.1207,-10819.25,-425.53,-1599.03,-4275.32
312416.1217,-10951.47,-549.65,-1747.47,-4391.86
312416.1227,-11110.35,-707.44,-1929.43,-4543.16
312416.1237,-11294.32,-885.34,-2123.55,-4714.11
312416.1247,-11472.8,-1044.18,-2303.98,-4873.85
312416.1257,-11606.31,-1170.25,-2433.87,-4988.72
312416.1267,-11713.74,-1272.63,-2522.28,-5080.51
312416.1277,-11757.28,-1308.49,-2556.42,-5115.46
312416.1287,-11743.64,-1293.61,-2545.12,-5106.5
312416.1297,-11706.4,-1250.46,-2498.67,-5066.49
312416.1307,-11631.3,-1169.73,-2436.59,-4994.01
312416.1317,-11523.82,-1059.87,-2340.65,-4893.88
312416.1327,-11378.91,-918.44,-2206.56,-4762.36
312416.1337,-11223.89,-765.61,-2064.28,-4623.7
312416.1347,-11083.84,-628.14,-1932.05,-4496.05
312416.1357,-10955.76,-502.44,-1792.34,-4380.51
312416.1367,-10845.71,-400.07,-1665.02,-4282.43
312416.1377,-10794.59,-358.2,-1590.16,-4236.27
312416.1387,-10796.12,-364.54,-1583.43,-4236.98
312416.1397,-10838.18,-415.13,-1637.55,-4281.43
312416.1407,-10939.74,-517.7,-1749.28,-4374.79
312416.1417,-11040.83,-617.84,-1845.07,-4465.01
312416.1427,-11157.66,-729.37,-1944.11,-4565.1
312416.1437,-11326.03,-891.02,-2115.68,-4717.73
312416.1447,-11494.73,-1047.33,-2282.0,-4868.89
312416.1457,-11633.73,-1180.98,-2420.66,-4997.06
312416.1467,-11728.0,-1277.88,-2516.79,-5087.33
312416.1477,-11777.74,-1316.55,-2562.67,-5123.23
312416.1487,-11779.88,-1310.68,-2564.14,-5117.94
312416.1497,-11719.51,-1262.28,-2514.7,-5071.26
312416.1507,-11619.62,-1167.01,-2421.86,-4983.62
312416.1517,-11505.75,-1040.79,-2298.07,-4871.23
312416.1527,-11374.62,-908.71,-2163.84,-4746.06
312416.1537,-11229.28,-765.61,-2025.6,-4614.54
312416.1547,-11100.53,-632.72,-1896.33,-4495.38
312416.1557,-10973.79,-502.4,-1767.59,-4377.7
312416.1567,-10862.92,-392.01,-1660.39,-4273.46
312416.1577,-10815.19,-348.38,-1617.96,-4228.12
312416.1587,-10816.15,-355.2,-1622.53,-4226.02
312416.1597,-10855.39,-400.54,-1657.34,-4261.07
312416.1607,-10932.35,-490.09,-1737.5,-4344.32
312416.1617,-11045.98,-610.49,-1861.91,-4458.09
312416.1627,-11198.47,-760.41,-2014.07,-4595.57
312416.1637,-11350.68,-916.81,-2161.26,-4739.48
312416.1647,-11495.21,-1064.06,-2303.79,-4876.9
312416.1657,-11638.02,-1204.92,-2441.5,-5008.32
312416.1667,-11749.32,-1311.4,-2545.31,-5107.21
312416.1677,-11780.02,-1350.02,-2572.01,-5140.59
312416.1687,-11760.14,-1344.87,-2564.38,-5134.3
312416.1697,-11706.78,-1296.38,-2520.75,-5090.62
312416.1707,-11612.04,-1200.01,-2425.53,-5011.99
312416.1717,-11492.06,-1072.6,-2301.84,-4903.98
312416.1727,-11350.82,-921.44,-2158.4,-4766.61
312416.1737,-11200.57,-773.48,-2006.39,-4625.23
312416.1747,-11037.92,-621.37,-1839.59,-4476.64
312416.1757,-10898.78,-482.75,-1699.54,-4342.51
312416.1767,-10808.99,-391.39,-1609.66,-4253.91
312416.1777,-10769.18,-354.05,-1583.05,-4215.53
312416.1787,-10755.49,-347.47,-1592.64,-4207.56
312416.1797,-10797.22,-391.82,-1639.51,-4249.48
312416.1807,-10922.86,-507.74,-1751.47,-4354.57
312416.1817,-11077.69,-648.59,-1893.52,-4487.18
312416.1827,-11241.34,-799.27,-2049.88,-4630.76
312416.1837,-11406.09,-953.91,-2205.52,-4776.05
312416.1847,-11553.0,-1093.48,-2342.61,-4903.6
312416.1857,-11685.28,-1220.32,-2469.11,-5025.44
312416.1867,-11775.02,-1308.2,-2555.28,-5114.37
312416.1877,-11786.65,-1326.89,-2549.6,-5137.49
312416.1887,-11749.17,-1301.53,-2519.66,-5117.85
312416.1897,-11706.02,-1260.61,-2489.14,-5082.32
312416.1907,-11645.6,-1185.04,-2424.72,-5010.32
